
book name,synopsis
游戏改变世界,◆《游戏改变世界》是著名未来学家、TED大会新锐演讲者简•麦戈尼格尔探索互联时代重要趋势的最新力作。在书中，作者指出：游戏可以弥补现实世界的不足和缺陷，游戏化可以让现实变得更美好。◆作者在书中用大量事例告诉我们，游戏击中了人类幸福的核心，提供了令人愉悦的奖励、刺激性的挑战和宏大的胜利，而这些都是现实世界十分匮乏的。她的研究表明，我们可以借助游戏的力量，让生活变得像游戏一样精彩。◆作者指出了游戏化将要实现的四大目标：更满意的工作、更有把握的成功、更强的社会联系及更宏大的意义，并用大量实践告诉我们该如何驾驭游戏的力量，解决现实问题，并提升幸福感。她告诫我们：如果人们继续忽视游戏，在不远的未来，就会处在极端不利的地位。
腾讯传,腾讯官方唯一授权的权威传记著名财经作家吴晓波倾力之作当市值最高的中国互联网公司，遇上中国财经界最冷静的一双眼睛读懂腾讯，读懂中国互联网.内容简介本书全景式地记录了腾讯崛起的经历，并以互联网的视角重新诠释了中国在融入全球化进程中的曲折与独特性。从1998年开始创业到成为世界级互联网巨头，腾讯以即时通信工具起步，逐渐进入社交网络、互动娱乐、网络媒体、电子商务等领域，在超高速发展的同时亦饱受争议，在“3Q大战”的激烈冲突之后又进一步走向开放……腾讯的发展路径，亦是中国互联网企业成长的缩影。我们可以看到，中国的互联网人在应用性迭代和对本国消费者的行为了解上，找到了自己的办法，并开始领跑全球。读懂腾讯，读懂中国互联网。
信息简史,人类与信息遭遇的历史由来已久。詹姆斯•格雷克笔下的这段历史出人意料地从非洲的鼓语讲起（第1章）。非洲土著部落在尚未直接跨越到移动电话之前，曾用鼓声来传递讯息，但他们是如何做到的呢？后续章节进而讲述了这段历史上几个影响深远的关键事件，包括文字的发明（第2章）、罗伯特•考德里的第一本英语词典（第3章）、查尔斯•巴贝奇的差分机与爱达•拜伦的程序（第4章）、沙普兄弟的信号塔与摩尔斯电码（第5章）。但人类开始自觉地理解和利用信息始于克劳德•香农在1948年创立的信息论（第6、7章）。香农的信息论不仅推动了信息技术的发展，也引发了许多学科的信息转向（第8章），改变了人们对于诸如麦克斯韦妖（第9章）、生命的编码（第10章）、模因（第11章）、随机性（第12章）、量子信息论（第13章）等的理解。部分科学家甚至认为，构成世界的基础不是物质，不是能量，而是信息。正如物理学家约翰•惠勒所说，“万物源自比特”。现如今，信息如洪流般淹没了我们，使我们深陷信息焦虑、信息过载、信息疲劳的困扰。但回顾历史，这并不是件新鲜事，人们也总是能想出应对手段。维基百科（第14章）、Google（第15章）便是我们的应对之一。无论对于信息的未来持何态度，有一点是确定无疑的，即我们人类是信息的造物。作为《混沌》、《费曼传》、《越来越快》、《牛顿传》等畅销书的作者，格雷克不仅在书中细致还原了历史细节，通俗解释了各种理论，还生动刻画了几位不为大众所知的人物：可编程计算机先驱、超越时代的查尔斯•巴贝奇，第一位程序员、诗人拜伦之女爱达•拜伦，计算机科学之父、天妒英才的阿兰•图灵，以及全书的主人公、信息论之父克劳德•香农。
大数据时代,《大数据时代》是国外大数据研究的先河之作，本书作者维克托•迈尔•舍恩伯格被誉为“大数据商业应用第一人”，拥有在哈佛大学、牛津大学、耶鲁大学和新加坡国立大学等多个互联网研究重镇任教的经历，早在2010年就在《经济学人》上发布了长达14页对大数据应用的前瞻性研究。维克托•迈尔•舍恩伯格在书中前瞻性地指出，大数据带来的信息风暴正在变革我们的生活、工作和思维，大数据开启了一次重大的时代转型，并用三个部分讲述了大数据时代的思维变革、商业变革和管理变革。维克托最具洞见之处在于，他明确指出，大数据时代最大的转变就是，放弃对因果关系的渴求，而取而代之关注相关关系。也就是说只要知道“是什么”，而不需要知道“为什么”。这就颠覆了千百年来人类的思维惯例，对人类的认知和与世界交流的方式提出了全新的挑战。本书认为大数据的核心就是预测。大数据将为人类的生活创造前所未有的可量化的维度。大数据已经成为了新发明和新服务的源泉，而更多的改变正蓄势待发。书中展示了谷歌、微软、亚马逊、IBM、苹果、facebook、twitter、VISA等大数据先锋们最具价值的应用案例。
精益创业,《精益创业:新创企业的成长思维》内容简介：我们正处在一个空前的全球创业兴盛时代，但无数创业公司都黯然收场，以失败告终。精益创业代表了一种不断形成创新的新方法，它源于“精益生产”的理念，提倡企业进行“验证性学习”，先向市场推出极简的原型产品，然后在不断地试验和学习中，以最小的成本和有效的方式验证产品是否符合用户需求，灵活调整方向。如果产品不符合市场需求，最好能“快速地失败、廉价地失败”，而不要“昂贵地失败”；如果产品被用户认可也应该不断学习，挖掘用户需求，迭代优化产品。这一模式不仅针对车库创业派，对于全球最大企业内部的新创业务也同样适用。创业是在充满不确定性的情况下进行产品或服务创新。新创企业还不知道他们的产品应该是什么样的，他们的顾客在哪里。计划和预测只能基于长期、稳定的运营历史和相对静止的环境。而这些条件新创企业都不具备。有时候我们自己觉得产品会非常受欢迎，所以花费巨大精力，在各种细小的问题上进行打磨，结果，产品推到市场后，消费者很残酷地表示他们不需要这个东西。如果我们的生意本身不被市场需要，那么我们失败来的越快越好，这意味着我们耗费更少的资金和精力在错误的事情上。埃里克将精益创业提炼为一个反馈循环：想法—开发—测量—认知—新的想法。根据这种模式，我们创业的第一步是把想法变为产品，而且这时开发的产品是精简的原型，投入最小的金钱和精力开发出体现核心价值的产品，不要在许多细枝末节上耗费过多精力。当极简功能的产品得到用户认可后，创业者需要把控局势，在不断的反馈和循环中测试产品，快速作出调整和改变，迭代优化产品，挖掘用户需求，达到爆发式增长。新创企业必须在消耗完启动资金之前，以最小的成本、在最短时间里找到有价值的认知。
上瘾,——为什么我们会习惯性地点开某个A？——这种使用习惯到底是如何养成的？——为什么有些产品能让我们戒不掉，而其他的产品却不行？——是否有什么秘诀能让用户对你的产品形成使用习惯，欲罢不能？《上瘾》揭示了很多让用户形成使用习惯，甚至“上瘾”的互联网产品服务背后的基本设计原理，告诉你怎样打造一款让用户欲罢不能的产品。作者根据自己多年的研究、咨询及实际经验，提出了新颖而实用的“上瘾模型”（HookModel），即通过四个方面来养成用户的使用习惯。通过连续的“上瘾循环”，让用户成为“回头客”，进而实现循环消费的终极目标，而不是依赖高昂的广告投入或泛滥粗暴的信息传播。本书专为产品经理、设计师、市场销售人员、广告创意者打造，每一位跟用户行为打交道的人，都值得将其奉为案头必备指南。对于想要了解行为设计科学的读者来说，这本书也将让你对自己、对当前的热门产品有更深刻的认识。你将会看到：“上瘾”产品中暗藏的用户习惯养成关键打造一款用户习惯养成类产品的实操步骤Facebook、Twitter、Instagram、Pinterest等国际知名互联网产品常用的用户行为设计解析
长尾理论,书中阐述，商业和文化的未来不在于传统需求曲线上那个代表“畅销商品”（hits）的头部；而是那条代表“冷门商品”（misses）经常为人遗忘的长尾。举例来说，一家大型书店通常可摆放10万本书，但亚马逊网络书店的图书销售额中，有四分之一来自排名10万以后的书籍。这些“冷门”书籍的销售比例正以高速成长，预估未来可占整体书市的一半。这意味着消费者在面对无限的选择时，真正想要的东西、和想要取得的渠道都出现了重大的变化，一套崭新的商业模式也跟着崛起。传统的市场曲线是符合8020铁律的，为了抢夺那带来80%利润的畅销品市场，我们厮杀得天昏地暗，但是我们所谓的热门商品正越来越名不副实，比如说黄金电视节目的收视率几十年来一直在萎缩，若放在1970年，现在的一档最佳节目恐怕连前10名之列都难以进入。简言之，尽管我们仍然对大热门着迷，但它们的经济力量已经今非昔比。那么，那些反复无常的消费者们已经转向了什么地方？答案并非唯一。他们散向了四面八方，因为市场已经分化成了无数不同的领域。互联网的出现改变了这种局面，使得99%的商品都有机会进行销售，市场曲线中那条长长的尾部（所谓的利基产品）也咸鱼翻身，成为我们可以寄予厚望的新的利润增长点。
增长黑客,“增长黑客”这一概念近年来兴起于美国互联网创业圈，最早是由互联网创业者SeanEllis提出。增长黑客是介于技术和市场之间的新型团队角色，主要依靠技术和数据的力量来达成各种营销目标，而非传统意义上靠砸钱来获取用户的市场推广角色。他们能从单线思维者时常忽略的角度和难以企及的高度通盘考虑影响产品发展的因素，提出基于产品本身的改造和开发策略，以切实的依据、低廉的成本、可控的风险来达成用户增长、活跃度上升、收入额增加等商业目的。简单来说，就是低成本甚至零成本地用“技术”来让产品获得有效增长。
科技想要什么,在《科技想要什么》一书中，凯文•凯利向我们介绍了一种全新的科技观。他认为，作为整体，科技不是由线路和金属构成的一团乱麻，而是有生命力的自然形成的系统，它的起源完全可以回溯到生命的初始时期。正如生物进化呈现出无意识的趋势，科技也是如此。通过追踪这些长期趋势，我们可以对“科技想要什么”有所理解。凯文•凯利预测了未来数十年科技的12种趋势，包括创造大脑这一得寸进尺之举。不过，为了让人类创造的世界实现收益最大化，需要对这种全球体系产生的问题和代价保持敏感。凯利详细讲述了值得我们学习的阿米什“早期使用者”和其他批判科技自我主义倾向的人所具有的智慧。凯利的新科技理论提供了三种实践经验：通过倾听科技的需求，我们和我们的孩子可以更加出色地做好准备，迎接必将到来的科技；通过采用主动融合原则，我们可以驾驭科技，使之发挥最大作用；通过遵从这种类生命系统的长期原则，我们可以获得它的全部馈赠。凯利令人吃惊地宣称，现在人类已定义的生命形态仅包括植物、动物、原生生物、真菌、原细菌、真细菌六种，但技术的演化和这六种生命体的演化惊人相似。技术应该是生命的第七种存在方式。技术是生命的延伸，它不是独立于生命之外的东西。这是一部关于科技的巅峰之作，必定会成为现代思想体系中的一座里程碑。
创新者,《创新者》是沃尔特·艾萨克森继全球畅销书《史蒂夫·乔布斯传》之后的又一部力作，不仅讲述了计算机和互联网从无到有的发展历程，为我们生动地刻画出数字时代的创新者群像，还深度挖掘互联网的精神内核，解读了“诗意科学”这个重大主题。在近200年的数字化进程中群星闪耀，艾萨克森从第一个计算机程序的创造者、浪漫主义诗人拜伦之女埃达•洛夫莱斯伯爵夫人说起，细数了这一群将科学与人文融合的创新者，他们包括第一台通用型的电子计算机的创造者莫奇利、科学家冯·诺依曼、仙童半导体公司的“八叛逆”、天才图灵、英特尔的格鲁夫、微软的比尔·盖茨、苹果公司的乔布斯、谷歌的拉里·佩奇等。这些拥有不羁创意的先锋者、黑客、天才、企业家们，并不是孤立的存在，他们秉承着开放与共享的精神，通过跨越世代的合作，让科技实现了创造性的飞跃，而他们沉淀下来的社会和文化力量成为了滋养创新的坚实土壤。展现在我们面前的这一卷大气磅礴的创新图景，彰显了数字时代的独有气质，即科技和艺术完美交织的奇迹，这也是天才乔布斯一生所追求的主题。只有理解了互联网的精髓实质，才能成为下一个引领时代的创新者。
硅谷之谜,这是一本颠覆人们对信息时代的认识、对创新和创业的理解的好书。作者吴军通过介绍硅谷成功的秘诀，揭示了信息时代的特点和方法论。近年来，吴军从技术和管理人员变成了投资人，他对IT领域，尤其是对科技创新因而有了更深入的了解。他根据这些年在硅谷所获得的第一手资料，结合自己的思考，回答了长期以来令大家深感困惑的一个不解之谜，那就是—为什么硅谷在全世界其他地区难以复制？《硅谷之谜》从某种意义上讲是《浪潮之巅》的续集或姊妹篇。在《硅谷之谜》中，吴军站在一个更高的层次，仔细分析了硅谷的起源和发展，对硅谷的创新力进行了深刻剖析，把硅谷的经验提升到了理论高度，并且解释了为什么只有硅谷真正做到了宽容叛逆、宽容失败、多元文化和拒绝平庸。这些特点造就了硅谷几十年的长盛不衰。本书有助于中国的科技工作者、创业者、风险投资人以及政府相关部门的管理者深入研究、学习硅谷，也非常适合对科技创新与创业感兴趣的人士阅读参考。
计算广告,计算广告是一项新兴的研究课题，它涉及大规模搜索和文本分析、信息获取、统计模型、机器学习、分类、优化以及微观经济学等诸多领域的知识。本书从实践出发，系统地介绍计算广告的产品、问题、系统和算法，并且从工业界的视角对这一领域具体技术的深入剖析。本书立足于广告市场的根本问题，从计算广告各个阶段所遇到的市场挑战出发，以广告系统业务形态的需求和变化为主线，依次介绍合约广告系统、竞价广告系统、程序化交易市场等重要课题，并对计算广告涉及的关键技术和算法做深入的探讨。无论是互联网公司商业化部门的产品技术人员，还是对个性化系统、大数据变现或交易有兴趣的产品技术人员，传统企业互联网化进程的决策者，传统广告业务的从业者，互联网创业者，计算机相关专业研究生，都会从阅读本书中受益匪浅。本文仅用于学习和交流目的，不代表异步社区观点。非商业转载请注明作译者、出处，并保留本文的原始链接。
HTTP权威指南,超文本转移协议（HyertextTransferProtocol，HTTP）是在万维网上进行通信时所使用的协议方案。HTTP有很多应用，但最著名的是用于web浏览器和web服务器之间的双工通信。HTTP起初是一个简单的协议，因此你可能会认为关于这个协议没有太多好说的。但现在，你手上拿着的是却一本两磅重的书。如果你对我们怎么会写出一本650页的关于HTTP的书感到奇怪的话，可以去看一下目录。本书不仅仅是一本HTTP首部的参考手册；它是一本名副其实的web结构圣经。本书中，我们尝试着将HTTP中一些互相关联且常被误解的规则梳理清楚，并编写了一系列基于各种主题的章节，对HTTP各方面的特性进行了介绍。纵观全书，我们对HTTP“为什么”这样做进行了详细的解释，而不仅仅停留在它是“怎么做”的。而且，为了节省大家寻找参考文献的时间，我们还对很多HTTP应用程序正常工作所必须的、重要的非HTTP技术进行了介绍。在组织得便于使用的附录中，可以找到按照字母排序的首部参考（这些首部构成了最常见的HTTP文本的基础）。我们希望这种概念性的设计有助于读者对HTTP的使用。本书是为所有希望理解HTTP以及Web底层结构的人编写的。软硬件工程师也可以将本书作为HTTP及相关web技术的条理清楚的参考书使用。系统架构师和网络管理员可以通过本书更好地了解如何设计、实现并管理复杂的网络架构。性能工程师和分析人员可以从高速缓存和性能优化的相关章节中获益。市场营销和咨询专家可以通过概念的介绍更好地理解web技术的前景。本书对一些常见的误解进行了说明，推荐了“各种使用诀窍”，提供了便捷的参考资料，并且对枯燥且令人费解的标准规范进行了可读性很强的介绍。在这本书里，我们对Web正常工作所必须且互相关联的技术进行了详细的介绍。本书是很多对因特网技术充满热情的人经过大量工作写成的。希望对你有所帮助。
